label,en,fr,de,it,es,ca,pl,uk,ru,zh,ja,vi,el
ARGS_INTRO_0,Cards games,Jeux de cartes,Kartenspiele,Giochi di carte,Juegos de cartas,Jocs de cartes,Gry karciane,Карткові ігри,Карточные игры,纸牌游戏,カードゲーム,Trò chơi bài,Παιχνίδια με κάρτες
ARGS_INTRO_1,Launch,Lancement,Start,Lancio,Lanzamiento,Llançament,Początek,Запуск,Запуск,发射,打ち上げ,Phóng,Εκτόξευση
ARGS_INTRO_2,Arguments,Arguments,Argumente,Argomenti,Argumentos,Arguments,Argumenty,Аргументи,Аргументы,参数,議論,Lập luận,Επιχειρήματα
ARGS_DESC_0,Displays a card from the deck,Affiche une carte du paquet,Zeigt eine Karte aus dem Stapel an,Mostra una carta dal mazzo,Muestra una carta de la baraja.,Mostra una carta de la baralla,Wyświetla kartę z talii,Показує карту з колоди,Показывает карту из колоды,显示一张牌,デッキからカードを表示する,Hiển thị một lá bài từ bộ bài,Εμφανίζει μια κάρτα από την τράπουλα
ARGS_DESC_1,Displays the entire deck,Affiche l'intégralité du jeu,Zeigt das gesamte Deck an,Visualizza l'intero mazzo,Muestra la baraja completa,Mostra tota la coberta,Wyświetla cały pokład,Відображає всю колоду,Отображает всю колоду,显示整副牌,デッキ全体を表示します,Hiển thị toàn bộ bộ bài,Εμφανίζει ολόκληρο το κατάστρωμα
ARGS_DESC_2,Displays a card from the shuffled deck,Affiche une carte du jeu mélangé,Zeigt eine Karte aus dem gemischten Stapel an,Mostra una carta dal mazzo mescolato,Muestra una carta de la baraja barajada.,Mostra una carta de la baralla barrejada,Wyświetla kartę z potasowanej talii,Показує карту з перемішаної колоди,Показывает карту из перетасованной колоды,显示洗好的牌堆中的一张牌,シャッフルされたデッキからカードを表示する,Hiển thị một lá bài từ bộ bài đã xáo trộn,Εμφανίζει μια κάρτα από την ανακατεμένη τράπουλα
ARGS_DESC_3,Displays all cards in the shuffled deck,Affiche toutes les cartes du jeu mélangé,Zeigt alle Karten im gemischten Stapel an,Mostra tutte le carte nel mazzo mescolato,Muestra todas las cartas de la baraja barajada.,Mostra totes les cartes de la baralla barrejada,Wyświetla wszystkie karty w potasowanej talii,Показує всі карти в перемішаній колоді,Отображает все карты в перетасованной колоде,显示洗好的牌堆中的所有牌,シャッフルされたデッキ内のすべてのカードを表示します,Hiển thị tất cả các lá bài trong bộ bài đã xáo trộn,Εμφανίζει όλα τα φύλλα στην ανακατεμένη τράπουλα
ARGS_DESC_4,Launches a card game,Lance un jeu de cartes,Startet ein Kartenspiel,Lancia un gioco di carte,Lanza un juego de cartas,Llança un joc de cartes,Uruchamia grę karcianą,Запускає карткову гру,Запускает карточную игру,启动纸牌游戏,カードゲームを起動する,Khởi chạy một trò chơi bài,Ξεκινά ένα παιχνίδι με κάρτες
ARGS_DESC_5,Insert one or more players,Insérer un ou plusieurs joueurs,Einen oder mehrere Spieler einfügen,Inserisci uno o più giocatori,Insertar uno o más jugadores,Inseriu un o més jugadors,Wstaw jednego lub więcej graczy,Вставте одного або кількох гравців,Вставьте одного или нескольких игроков,插入一个或多个玩家,1人以上のプレーヤーを挿入する,Chèn một hoặc nhiều người chơi,Εισαγάγετε έναν ή περισσότερους παίκτες
ARGS_DESC_6,Displays the list of games and players,Affiche la liste des jeux et des joueurs,Zeigt die Liste der Spiele und Spieler an,Visualizza l'elenco dei giochi e dei giocatori,Muestra la lista de juegos y jugadores.,Mostra la llista de jocs i jugadors,Wyświetla listę gier i graczy,Відображає список ігор і гравців,Отображает список игр и игроков,显示游戏和玩家列表,ゲームとプレイヤーのリストを表示します,Hiển thị danh sách trò chơi và người chơi,Εμφανίζει τη λίστα με τα παιχνίδια και τους παίκτες
ARGS_DESC_7,Displays the help menu,Affiche le menu d'aide,Zeigt das Hilfemenü an,Visualizza il menu di aiuto,Muestra el menú de ayuda,Mostra el menú d'ajuda,Wyświetla menu pomocy,Відображає меню довідки,Отображает меню справки,显示帮助菜单,ヘルプメニューを表示します,Hiển thị menu trợ giúp,Εμφανίζει το μενού βοήθειας
ARGS_DESC_8,Debugger mode,Mode débogueur,Debugger-Modus,Modalità debugger,Modo depurador,Mode depurador,Tryb debugowania,Режим відладчика,Режим отладки,调试器模式,デバッガーモード,Chế độ gỡ lỗi,Λειτουργία εντοπισμού σφαλμάτων
ARGS_DESC_9,Displays the program version,Affiche la version du programme,Zeigt die Programmversion an,Visualizza la versione del programma,Muestra la versión del programa.,Mostra la versió del programa,Wyświetla wersję programu,Відображає версію програми,Отображает версию программы,显示程序版本,プログラムのバージョンを表示します,Hiển thị phiên bản chương trình,Εμφανίζει την έκδοση του προγράμματος
DEBUG_STARTING,Launching in debugger mode,Lancement en mode débogueur,Starten im Debugger-Modus,Avvio in modalità debugger,Lanzamiento en modo depurador,S'està iniciant en mode depurador,Uruchamianie w trybie debugera,Запуск у режимі відладчика,Запуск в режиме отладчика,以调试器模式启动,デバッガーモードで起動する,Khởi chạy ở chế độ gỡ lỗi,Εκκίνηση σε λειτουργία εντοπισμού σφαλμάτων
DEBUG_CONTINUE,Press any key to continue...,Appuyez sur n'importe quelle touche pour continuer...,"Drücken Sie eine beliebige Taste, um fortzufahren ...",Premi un tasto qualsiasi per continuare...,Presione cualquier tecla para continuar...,Premeu qualsevol tecla per continuar...,"Naciśnij dowolny klawisz, aby kontynuować...","Натисніть будь-яку клавішу, щоб продовжити...","Нажмите любую клавишу, чтобы продолжить...",按任意键继续...,続行するには任意のキーを押してください...,Nhấn phím bất kỳ để tiếp tục...,Πατήστε οποιοδήποτε πλήκτρο για να συνεχίσετε...
ERR_ARGS,Unknown arguments,Arguments inconnus,Unbekannte Argumente,Argomenti sconosciuti,Argumentos desconocidos,Arguments desconeguts,Nieznane argumenty,Невідомі аргументи,Неизвестные аргументы,未知参数,不明な引数,Những lý lẽ chưa biết,Άγνωστα επιχειρήματα
ERR_MENU_CHOICE,This choice does not exist,Ce choix n'existe pas,Diese Wahl gibt es nicht,Questa scelta non esiste,Esta elección no existe,Aquesta elecció no existeix,Ten wybór nie istnieje,Такого вибору не існує,Такого выбора не существует,此选择不存在,この選択肢は存在しません,Lựa chọn này không tồn tại,Αυτή η επιλογή δεν υπάρχει
ERR_CARD_NUMBER,Specify a card number,Spécifiez un numéro de carte,Geben Sie eine Kartennummer an,Specificare un numero di carta,Especifique un número de tarjeta,Especifiqueu un número de targeta,Podaj numer karty,Вкажіть номер картки,Укажите номер карты,指定卡号,カード番号を指定してください,Chỉ định số thẻ,Καθορίστε έναν αριθμό κάρτας
ERR_GAME_NAME,Enter a game name,Entrez un nom de jeu,Geben Sie einen Spielnamen ein,Inserisci un nome di gioco,Introduce un nombre de juego,Introduïu un nom de joc,Wprowadź nazwę gry,Введіть назву гри,Введите название игры,输入游戏名称,ゲーム名を入力してください,Nhập tên trò chơi,Εισαγάγετε ένα όνομα παιχνιδιού
ERR_PLAYER_EXIST,Player does not exist,Le joueur n'existe pas,Spieler existiert nicht,Il giocatore non esiste,El jugador no existe,El jugador no existeix,Gracz nie istnieje,Гравець не існує,Игрок не существует,玩家不存在,プレイヤーが存在しません,Người chơi không tồn tại,Παίκτης δεν υπάρχει
ERR_PLAYER_LIST,The player list is incorrect,La liste des joueurs est incorrecte,Die Spielerliste ist falsch,L'elenco dei giocatori è errato,La lista de jugadores es incorrecta,La llista de jugadors és incorrecta,Lista graczy jest nieprawidłowa,Список гравців неправильний,Список игроков неверный,球员名单不正确,プレーヤーリストが間違っています,Danh sách người chơi không đúng,Η λίστα παικτών είναι λανθασμένη
ERR_LIST,Unknown list type,Type de liste inconnu,Unbekannter Listentyp,Tipo di elenco sconosciuto,Tipo de lista desconocida,Tipus de llista desconegut,Nieznany typ listy,Невідомий тип списку,Неизвестный тип списка,未知列表类型,不明なリストタイプ,Loại danh sách không xác định,Άγνωστος τύπος λίστας
COMMON_BACK,return,retour,zurückkehren,ritorno,devolver,tornar,powrót,повернення,возвращаться,返回,戻る,trở lại,απόδοση
COMMON_BY,by,par,von,di,por,per,przez,за,к,经过,による,qua,με
COMMON_YES,Yes,Oui,Ja,SÌ,Sí,Sí,Tak,так,Да,是的,はい,Đúng,Ναί
COMMON_NO,No,Non,NEIN,NO,No,No,NIE,немає,Нет,不,いいえ,KHÔNG,Οχι
COMMON_PLAYABLE,Playable,Jouable,Spielbar,Giocabile,Interpretable,Jugable,Możliwość gry,Відтворюється,Играбельно,可玩,プレイ可能,Có thể chơi được,Παικτός
COMMON_UNPLAYABLE,Not playable,Non jouable,Nicht spielbar,Non giocabile,No jugable,No es pot jugar,Nie można grać,Не можна грати,Не играбельно,不可播放,プレイできません,Không thể chơi được,Δεν παίζεται
COMMON_PATH,Path,Chemin,Weg,Sentiero,Camino,Camí,Ścieżka,шлях,Путь,小路,パス,Con đường,Μονοπάτι
COMMON_NAME,Name,Nom,Name,Nome,Nombre,Nom,Nazwa,Ім'я,Имя,姓名,名前,Tên,Ονομα
COMMON_PLAYER,The player,Le joueur,Der Spieler,Il giocatore,El jugador,El jugador,Gracz,Гравець,Игрок,玩家,プレイヤー,Người chơi,Ο παίκτης
